                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2195,                0.80511,                 1.4651,                 0.8151,                0.30907,                0.31943,                0.20671,                 1.4978,                 1.2478,                 1.7661,              0.0005512,              0.0005512,              0.0005512
                     36,                 1.1622,                0.75197,                  1.415,                0.79788,                0.38007,                0.39683,                 0.2373,                 1.5949,                  1.528,                 1.9101,               0.000538,               0.000538,               0.000538
                     37,                 1.1706,                0.74438,                 1.4226,                0.84863,                0.61624,                  0.647,                0.43341,                 1.5757,                 1.5353,                 1.8584,              0.0005248,              0.0005248,              0.0005248
                     38,                 1.1267,                0.73317,                 1.3944,                0.81769,                0.62893,                0.65395,                0.42335,                 1.5055,                 1.3543,                 1.8434,              0.0005116,              0.0005116,              0.0005116
                     39,                  1.156,                0.68871,                 1.4235,                0.81398,                0.30258,                0.34632,                0.21092,                 1.5616,                 1.5447,                 1.8873,              0.0004984,              0.0004984,              0.0004984
                     40,                 1.1564,                0.68826,                 1.4225,                0.82581,                0.47601,                 0.4906,                0.29981,                 1.6134,                 1.6587,                 1.8806,              0.0004852,              0.0004852,              0.0004852
                     41,                  1.149,                0.72039,                 1.4189,                0.54852,                0.26003,                0.25667,                0.15637,                 1.6157,                 2.0114,                 1.9449,               0.000472,               0.000472,               0.000472
                     42,                 1.1065,                0.71619,                 1.3784,                0.88051,                0.34686,                0.38196,                0.24397,                 1.4972,                 1.3589,                 1.8144,              0.0004588,              0.0004588,              0.0004588
                     43,                 1.1084,                0.67884,                 1.3962,                0.92957,                0.63312,                0.73626,                0.48116,                 1.5271,                 1.4916,                 1.7627,              0.0004456,              0.0004456,              0.0004456
                     44,                  1.112,                0.66509,                 1.3769,                0.89896,                0.59097,                0.66905,                0.44531,                 1.5165,                 1.8155,                 1.7774,              0.0004324,              0.0004324,              0.0004324
