                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0492,                 6.9817,                 3.0164,                0.85678,                0.01845,                0.05759,                0.02598,                 3.7801,                 8.5182,                 4.0287,                0.08713,                0.00013,                0.00013
                      2,                 2.7577,                 2.4329,                 2.7983,                0.20829,                0.08856,                0.04634,                0.02181,                 5.0396,                 8.9528,                 5.1269,               0.073266,             0.00026644,             0.00026644
                      3,                 2.9139,                  2.315,                 2.8798,                0.36404,                0.27675,                0.16926,                0.08386,                 4.2235,                 6.3402,                 4.4249,               0.059399,             0.00039918,             0.00039918
                      4,                 2.9662,                 2.3761,                 2.8318,                0.30084,                0.21402,                  0.161,                0.06572,                 5.1502,                 11.578,                 6.8257,               0.045528,             0.00052822,             0.00052822
                      5,                 2.9466,                 2.3611,                 2.8631,                0.24159,                0.17712,                0.14045,                0.05861,                 5.1132,                 26.841,                 6.6185,               0.031654,             0.00065357,             0.00065357
                      6,                 3.0504,                 2.4968,                 2.9982,                0.20969,                0.12177,                0.08921,                0.03155,                 4.5838,                 10.898,                 5.0574,               0.017775,             0.00077522,             0.00077522
                      7,                 3.1287,                 2.5576,                 2.9959,                0.00279,                0.02214,                 0.0012,                0.00051,                 6.3988,                 253.99,                 7.9001,              0.0038932,             0.00089318,             0.00089318
                      8,                 3.2212,                 2.7693,                 3.0568,                0.18328,                0.08856,                0.03899,                0.01801,                 6.8168,                 15.065,                 8.9129,              0.0009076,              0.0009076,              0.0009076
                      9,                 3.0316,                 2.4588,                 2.9251,                 0.0234,                0.08487,                0.00498,                0.00206,                  6.655,                   1911,                  11.68,              0.0008944,              0.0008944,              0.0008944
                     10,                 3.1068,                 2.4441,                  2.941,                0.09513,                0.04797,                0.02792,                0.01342,                 6.8413,                 13.759,                 10.339,              0.0008812,              0.0008812,              0.0008812
                     11,                 3.0093,                 2.3283,                 2.8571,                0.19559,                0.23985,                0.09779,                0.05191,                 4.2372,                 14.135,                 5.0096,               0.000868,               0.000868,               0.000868
                     12,                 2.9638,                 2.2601,                 2.8771,                0.17824,                0.16605,                0.09207,                0.05383,                 4.7692,                 23.875,                 5.6549,              0.0008548,              0.0008548,              0.0008548
                     13,                 2.8371,                 2.1134,                    2.8,                0.47076,                0.36531,                0.33397,                0.16462,                 4.5294,                 5.9321,                 4.6367,              0.0008416,              0.0008416,              0.0008416
                     14,                 2.9423,                 2.2003,                 2.8352,                0.19724,                0.04059,                0.02609,                  0.014,                 6.8514,                 10.955,                 6.3978,              0.0008284,              0.0008284,              0.0008284
                     15,                 2.8535,                 2.1739,                 2.7774,                0.65859,                0.51661,                0.54517,                 0.3048,                 3.6391,                 4.4385,                  3.591,              0.0008152,              0.0008152,              0.0008152
                     16,                 2.7222,                 2.0032,                 2.7045,                0.67186,                0.46494,                0.52806,                0.29494,                 3.4534,                 4.8722,                 3.3659,               0.000802,               0.000802,               0.000802
                     17,                 2.7578,                 1.9075,                 2.7022,                0.67205,                0.48339,                0.49525,                0.26014,                  3.794,                 4.4032,                 3.7356,              0.0007888,              0.0007888,              0.0007888
                     18,                 2.7645,                  1.965,                 2.7702,                 0.5155,                0.43542,                0.38788,                 0.2185,                 3.5896,                 5.3079,                 3.6565,              0.0007756,              0.0007756,              0.0007756
                     19,                 2.7288,                  1.868,                  2.677,                0.72679,                 0.4797,                0.54195,                0.31044,                 3.3838,                 3.7396,                 3.3139,              0.0007624,              0.0007624,              0.0007624
                     20,                 2.6379,                 1.8432,                 2.6006,                 0.4012,                0.38745,                0.32152,                0.14448,                 4.2245,                 5.5811,                 3.9118,              0.0007492,              0.0007492,              0.0007492
                     21,                 2.6769,                 1.9133,                 2.6722,                0.47684,                0.36531,                0.29885,                0.15072,                 4.4037,                 8.3925,                 4.2578,               0.000736,               0.000736,               0.000736
                     22,                  2.718,                 1.8884,                 2.7026,                0.70987,                0.61255,                0.63532,                0.35522,                 3.4722,                  4.267,                  3.348,              0.0007228,              0.0007228,              0.0007228
                     23,                 2.6466,                  1.899,                 2.6752,                0.71701,                0.45813,                0.51825,                0.29956,                 3.7113,                 4.4807,                 3.4794,              0.0007096,              0.0007096,              0.0007096
                     24,                 2.6651,                 1.8669,                 2.6566,                0.54791,                0.41697,                0.36193,                0.20569,                 3.7523,                  5.125,                 3.8136,              0.0006964,              0.0006964,              0.0006964
                     25,                 2.5554,                 1.7735,                  2.605,                0.47455,                0.28782,                0.31085,                0.17402,                 3.7627,                 5.7419,                 3.8895,              0.0006832,              0.0006832,              0.0006832
                     26,                 2.5525,                 1.6324,                 2.6135,                0.71113,                0.60863,                 0.6343,                0.36476,                  3.444,                  2.859,                 3.3622,                0.00067,                0.00067,                0.00067
                     27,                 2.5391,                 1.6266,                 2.5753,                0.70139,                0.57565,                0.62229,                0.36002,                 3.3553,                 2.9911,                 3.3426,              0.0006568,              0.0006568,              0.0006568
                     28,                 2.5118,                 1.6693,                  2.585,                0.72435,                0.50422,                0.57231,                0.32112,                 3.5559,                 3.1667,                 3.4502,              0.0006436,              0.0006436,              0.0006436
                     29,                 2.5159,                 1.6325,                 2.6139,                0.74217,                0.49077,                 0.5587,                0.35098,                 3.3799,                 3.9567,                  3.431,              0.0006304,              0.0006304,              0.0006304
                     30,                 2.4385,                 1.5476,                 2.5286,                  0.836,                 0.5941,                0.67314,                0.40611,                 3.2426,                 2.7824,                 3.1263,              0.0006172,              0.0006172,              0.0006172
                     31,                 2.4627,                 1.5031,                 2.5343,                0.77146,                 0.5941,                0.63622,                0.38753,                 3.2647,                 3.3192,                 3.1791,               0.000604,               0.000604,               0.000604
                     32,                   2.49,                 1.5252,                 2.5161,                0.75375,                0.63838,                0.62911,                0.38491,                 3.0916,                 2.9171,                 2.9251,              0.0005908,              0.0005908,              0.0005908
                     33,                 2.4264,                 1.4579,                 2.4907,                0.75102,                0.55351,                 0.6043,                0.36911,                 3.2087,                 3.1986,                 3.1216,              0.0005776,              0.0005776,              0.0005776
                     34,                  2.464,                 1.4603,                 2.5351,                0.82956,                0.62362,                0.68942,                0.44466,                 3.1524,                 2.9558,                 3.1062,              0.0005644,              0.0005644,              0.0005644
                     35,                 2.5087,                 1.5231,                  2.606,                0.85546,                0.54613,                0.62671,                 0.4176,                 3.1898,                  3.826,                 3.2144,              0.0005512,              0.0005512,              0.0005512
                     36,                 2.3898,                 1.4623,                 2.5224,                0.89948,                0.57934,                  0.682,                0.44713,                 3.1461,                 3.0974,                 3.2082,               0.000538,               0.000538,               0.000538
                     37,                 2.4178,                 1.4863,                 2.5184,                0.90363,                0.56089,                0.67525,                0.43297,                 3.2093,                 3.0336,                 3.2038,              0.0005248,              0.0005248,              0.0005248
                     38,                 2.3476,                 1.4652,                 2.4916,                0.79988,                0.60886,                0.69266,                0.44833,                 3.0741,                 2.5564,                 3.1063,              0.0005116,              0.0005116,              0.0005116
                     39,                 2.2845,                 1.3362,                  2.454,                0.86513,                0.60148,                0.65608,                 0.4401,                 3.0752,                  2.834,                 3.0891,              0.0004984,              0.0004984,              0.0004984
                     40,                 2.3798,                 1.3815,                 2.4696,                0.82341,                0.61943,                0.68883,                0.45753,                 3.0353,                 2.9003,                 3.0191,              0.0004852,              0.0004852,              0.0004852
                     41,                 2.3711,                 1.3987,                 2.5039,                0.81841,                0.61993,                0.65966,                0.44594,                  2.949,                 3.1687,                 3.0185,               0.000472,               0.000472,               0.000472
                     42,                 2.2656,                 1.3548,                 2.4415,                0.87395,                0.58842,                0.65351,                0.43931,                 3.0154,                 3.3031,                 3.0312,              0.0004588,              0.0004588,              0.0004588
                     43,                 2.3086,                 1.3208,                 2.5022,                0.86129,                0.66446,                 0.7475,                0.46309,                 3.4158,                  2.432,                 3.2593,              0.0004456,              0.0004456,              0.0004456
                     44,                 2.3284,                  1.299,                 2.4459,                0.84261,                0.60517,                0.66399,                0.42912,                 3.2406,                 3.4414,                 3.2343,              0.0004324,              0.0004324,              0.0004324
                     45,                 2.2192,                 1.2862,                 2.4412,                 0.8886,                0.62362,                0.67025,                0.45435,                 2.9685,                 3.2012,                 3.0839,              0.0004192,              0.0004192,              0.0004192
                     46,                  2.227,                 1.3304,                 2.4055,                0.86232,                0.62401,                0.66783,                0.44444,                 3.0725,                 2.9461,                 3.1795,               0.000406,               0.000406,               0.000406
                     47,                 2.1953,                 1.3437,                 2.4097,                0.84395,                0.59779,                0.69372,                0.46688,                  2.945,                 2.6467,                 2.9427,              0.0003928,              0.0003928,              0.0003928
                     48,                 2.1945,                 1.2845,                 2.4209,                0.83391,                0.61993,                0.67464,                0.46972,                 2.9173,                 3.0073,                 2.9485,              0.0003796,              0.0003796,              0.0003796
                     49,                 2.1525,                 1.2747,                 2.3804,                0.92614,                0.55351,                0.64581,                0.44249,                 2.9598,                 3.5631,                 3.0796,              0.0003664,              0.0003664,              0.0003664
                     50,                 2.2119,                 1.2525,                  2.383,                0.90324,                0.62362,                0.70043,                0.48448,                  2.883,                  2.947,                 2.9851,              0.0003532,              0.0003532,              0.0003532
                     51,                 2.1524,                 1.2607,                 2.3523,                0.87642,                0.63838,                0.71164,                0.49613,                 2.7723,                 2.8491,                 2.8378,                0.00034,                0.00034,                0.00034
                     52,                 2.1632,                 1.1981,                 2.3603,                0.84952,                0.64577,                0.71104,                0.49228,                 2.8477,                 3.1227,                 2.9486,              0.0003268,              0.0003268,              0.0003268
                     53,                 2.1097,                 1.1763,                 2.3173,                0.88415,                0.61624,                0.68936,                0.49102,                 2.9481,                 3.2014,                 3.0376,              0.0003136,              0.0003136,              0.0003136
                     54,                 2.1224,                  1.129,                 2.3285,                0.90655,                0.61624,                0.68541,                0.47539,                  2.948,                 3.2885,                 2.8886,              0.0003004,              0.0003004,              0.0003004
                     55,                 2.1043,                 1.1803,                 2.3503,                0.88635,                0.63311,                0.70659,                0.48695,                 2.8419,                 3.1384,                  2.784,              0.0002872,              0.0002872,              0.0002872
                     56,                 2.1085,                 1.1653,                 2.3403,                 0.9453,                0.63772,                0.70779,                0.48842,                 2.9323,                 3.7864,                 2.9627,               0.000274,               0.000274,               0.000274
                     57,                 2.0332,                 1.1423,                 2.2999,                0.95052,                0.63802,                0.70061,                0.49925,                 2.7995,                  3.465,                  2.918,              0.0002608,              0.0002608,              0.0002608
                     58,                  2.049,                 1.0945,                 2.3116,                0.88248,                0.65314,                0.72023,                0.50078,                 2.8609,                 2.6597,                 2.8528,              0.0002476,              0.0002476,              0.0002476
                     59,                 2.0722,                 1.1116,                 2.3232,                0.91946,                  0.631,                0.73604,                0.52131,                 2.7761,                 2.5685,                 2.8317,              0.0002344,              0.0002344,              0.0002344
                     60,                 2.0076,                 1.0953,                 2.3048,                0.95956,                0.61289,                0.71279,                0.50474,                 2.8468,                 3.0231,                 2.9112,              0.0002212,              0.0002212,              0.0002212
                     61,                 1.9538,                 1.0858,                 2.2876,                0.92792,                0.61751,                0.71421,                0.50432,                 2.7698,                 2.7608,                 2.8406,               0.000208,               0.000208,               0.000208
                     62,                 2.0568,                 1.1391,                 2.3213,                0.92178,                0.65225,                0.72748,                0.51148,                 2.8191,                 2.7664,                 2.8699,              0.0001948,              0.0001948,              0.0001948
                     63,                 1.9317,                 1.0358,                 2.2864,                0.88429,                0.67528,                0.74663,                0.52337,                 2.9461,                 2.5987,                 3.0013,              0.0001816,              0.0001816,              0.0001816
                     64,                 1.9194,                 1.0294,                 2.2697,                 0.8949,                0.65978,                0.75616,                0.52731,                 2.9657,                 2.4785,                 2.9673,              0.0001684,              0.0001684,              0.0001684
                     65,                 1.8792,                 1.0463,                 2.2559,                 0.8992,                0.65838,                0.76929,                0.54331,                 2.9487,                 2.7406,                  2.909,              0.0001552,              0.0001552,              0.0001552
                     66,                  1.828,                0.74759,                 2.2203,                0.89182,                0.66925,                0.76643,                0.52906,                 3.0508,                 2.6138,                 2.9328,               0.000142,               0.000142,               0.000142
                     67,                 1.7436,                0.69392,                 2.1737,                 0.8868,                0.67897,                0.76662,                0.54721,                 2.8577,                 2.6604,                 2.8175,              0.0001288,              0.0001288,              0.0001288
                     68,                 1.7706,                0.71104,                 2.1856,                0.89979,                0.66052,                0.75174,                0.53151,                 2.8924,                 2.6304,                 2.8595,              0.0001156,              0.0001156,              0.0001156
                     69,                 1.7039,                0.68375,                 2.1503,                0.95068,                0.64017,                0.74471,                0.53833,                 2.8782,                  2.817,                 2.8602,              0.0001024,              0.0001024,              0.0001024
                     70,                 1.7179,                0.67188,                 2.1563,                0.94674,                0.64207,                0.74995,                0.54251,                 2.8459,                 2.9459,                 2.8457,               8.92e-05,               8.92e-05,               8.92e-05
                     71,                 1.6671,                0.66855,                 2.1307,                0.93794,                0.64576,                 0.7561,                 0.5481,                 2.8038,                 2.9053,                 2.8001,                7.6e-05,                7.6e-05,                7.6e-05
                     72,                  1.658,                0.65144,                 2.1145,                0.93643,                0.65224,                0.75773,                0.54856,                 2.8281,                  2.872,                 2.8339,               6.28e-05,               6.28e-05,               6.28e-05
                     73,                 1.6873,                0.65952,                 2.1584,                0.95613,                0.64336,                0.75591,                0.54752,                 2.8253,                 2.7394,                 2.8352,               4.96e-05,               4.96e-05,               4.96e-05
                     74,                 1.6391,                0.64904,                 2.0995,                0.93264,                0.65314,                0.77254,                0.55635,                 2.8544,                 2.5572,                 2.8414,               3.64e-05,               3.64e-05,               3.64e-05
                     75,                 1.6365,                0.64699,                 2.0691,                0.94519,                0.65683,                0.77789,                0.55517,                 2.8556,                 2.4554,                 2.8395,               2.32e-05,               2.32e-05,               2.32e-05
