                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1226,                0.65326,                 1.2563,                0.90762,                0.65256,                0.74771,                0.46233,                 1.5028,                 1.0695,                 1.5731,              0.0005512,              0.0005512,              0.0005512
                     36,                 1.0803,                0.63099,                 1.2211,                0.85786,                0.64583,                 0.7493,                0.47314,                  1.451,                 1.0477,                 1.5237,               0.000538,               0.000538,               0.000538
                     37,                 1.0683,                0.64424,                 1.2154,                0.89051,                0.61624,                0.71512,                 0.4683,                 1.4127,                 1.0963,                 1.5071,              0.0005248,              0.0005248,              0.0005248
                     38,                 1.0429,                0.62688,                 1.2011,                0.90673,                0.64572,                0.71334,                0.49372,                  1.372,                 1.2042,                 1.4791,              0.0005116,              0.0005116,              0.0005116
                     39,                 1.0511,                 0.6083,                  1.207,                0.88125,                0.64207,                0.67655,                0.44293,                 1.3961,                 1.3823,                 1.5392,              0.0004984,              0.0004984,              0.0004984
                     40,                  1.077,                0.59877,                 1.2071,                0.86428,                0.64576,                0.68487,                0.45077,                 1.4647,                 1.3725,                 1.5413,              0.0004852,              0.0004852,              0.0004852
                     41,                 1.0725,                0.61599,                 1.2207,                0.86061,                0.61993,                0.65919,                0.44271,                 1.4731,                 1.4251,                 1.5598,               0.000472,               0.000472,               0.000472
                     42,                 1.0272,                 0.5874,                  1.196,                0.83563,                0.58153,                0.62315,                  0.395,                 1.5615,                 1.5447,                 1.6347,              0.0004588,              0.0004588,              0.0004588
                     43,                  1.056,                 0.5869,                 1.2127,                0.92072,                0.63838,                0.68793,                0.47544,                 1.3834,                 1.4834,                 1.4645,              0.0004456,              0.0004456,              0.0004456
                     44,                 1.0327,                0.56974,                 1.1974,                0.93471,                0.63396,                0.66975,                0.45426,                 1.4445,                 1.4171,                 1.5334,              0.0004324,              0.0004324,              0.0004324
                     45,                 1.0001,                0.56805,                 1.1944,                0.93182,                 0.6556,                0.73568,                0.49443,                 1.3794,                 1.2153,                  1.516,              0.0004192,              0.0004192,              0.0004192
                     46,                 1.0231,                0.56589,                 1.1867,                0.87331,                0.66052,                0.70112,                0.46771,                 1.3921,                 1.3291,                 1.5145,               0.000406,               0.000406,               0.000406
                     47,                0.99301,                0.58027,                 1.1762,                0.88837,                0.64576,                0.71084,                0.44583,                 1.4571,                 1.1075,                 1.5534,              0.0003928,              0.0003928,              0.0003928
                     48,                0.99815,                 0.5655,                 1.1757,                0.93582,                0.64562,                0.70778,                 0.4745,                 1.4448,                 1.0629,                 1.5143,              0.0003796,              0.0003796,              0.0003796
                     49,                0.97261,                0.53922,                 1.1495,                0.90796,                0.65527,                0.69953,                0.49307,                  1.401,                 1.3447,                 1.4902,              0.0003664,              0.0003664,              0.0003664
                     50,                  1.011,                0.55145,                 1.1639,                 0.8967,                0.67528,                0.80158,                0.52013,                 1.3841,                0.98507,                 1.4698,              0.0003532,              0.0003532,              0.0003532
